"Sample Index","Output","Actual"
"0","1.000000","1.000000",
"1","0.984807","0.984808",
"2","0.939692","0.939693",
"3","0.866025","0.866025",
"4","0.766044","0.766044",
"5","0.642787","0.642788",
"6","0.499999","0.500000",
"7","0.342019","0.342020",
"8","0.173647","0.173648",
"9","-0.000002","-0.000000",
"10","-0.173650","-0.173648",
"11","-0.342022","-0.342020",
"12","-0.500002","-0.500000",
"13","-0.642789","-0.642788",
"14","-0.766046","-0.766045",
"15","-0.866026","-0.866026",
"16","-0.939693","-0.939693",
"17","-0.984808","-0.984808",
"18","-0.999999","-1.000000",
"19","-0.984807","-0.984808",
"20","-0.939691","-0.939693",
"21","-0.866023","-0.866025",
"22","-0.766042","-0.766044",
"23","-0.642784","-0.642788",
"24","-0.499996","-0.500000",
"25","-0.342016","-0.342020",
"26","-0.173644","-0.173648",
"27","0.000004","0.000000",
"28","0.173652","0.173649",
"29","0.342024","0.342021",
"30","0.500003","0.500000",
"31","0.642790","0.642788",
"32","0.766047","0.766045",
"33","0.866027","0.866026",
"34","0.939693","0.939693",
"35","0.984808","0.984808",
"36","0.999999","1.000000",
"37","0.984806","0.984808",
"38","0.939690","0.939692",
"39","0.866021","0.866025",
"40","0.766040","0.766044",
"41","0.642782","0.642787",
"42","0.499994","0.500000",
"43","0.342014","0.342020",
"44","0.173642","0.173648",
"45","-0.000007","-0.000000",
"46","-0.173655","-0.173648",
"47","-0.342026","-0.342020",
"48","-0.500006","-0.500000",
"49","-0.642793","-0.642788",
"50","-0.766048","-0.766045",
"51","-0.866028","-0.866025",
"52","-0.939694","-0.939693",
"53","-0.984808","-0.984808",
"54","-0.999999","-1.000000",
"55","-0.984805","-0.984808",
"56","-0.939689","-0.939692",
"57","-0.866020","-0.866025",
"58","-0.766038","-0.766044",
"59","-0.642780","-0.642787",
"60","-0.499991","-0.499999",
"61","-0.342011","-0.342019",
"62","-0.173638","-0.173647",
"63","0.000010","0.000001",
"64","0.173658","0.173649",
"65","0.342030","0.342021",
"66","0.500009","0.500000",
"67","0.642795","0.642788",
"68","0.766051","0.766045",
"69","0.866030","0.866026",
"70","0.939696","0.939693",
"71","0.984809","0.984808",
"72","1.000000","1.000000",
"73","0.984805","0.984808",
"74","0.939688","0.939692",
"75","0.866019","0.866025",
"76","0.766037","0.766044",
"77","0.642779","0.642787",
"78","0.499990","0.499999",
"79","0.342009","0.342019",
"80","0.173636","0.173647",
"81","-0.000012","-0.000001",
"82","-0.173660","-0.173649",
"83","-0.342032","-0.342021",
"84","-0.500011","-0.500001",
"85","-0.642797","-0.642788",
"86","-0.766052","-0.766045",
"87","-0.866031","-0.866026",
"88","-0.939697","-0.939693",
"89","-0.984809","-0.984808",
"90","-0.999999","-1.000000",
"91","-0.984805","-0.984808",
"92","-0.939687","-0.939692",
"93","-0.866018","-0.866025",
"94","-0.766035","-0.766044",
"95","-0.642776","-0.642787",
"96","-0.499987","-0.500000",
"97","-0.342006","-0.342019",
"98","-0.173634","-0.173648",
"99","0.000015","0.000001",
