"Sample Index","Output","Exp Oscillator","Actual"
"0","1.000000","1.000000","1.000000",
"1","0.707107","0.707107","0.707107",
"2","-0.000000","0.000000","-0.000000",
"3","-0.707107","-0.707107","-0.707107",
"4","-1.000000","-1.000000","-1.000000",
"5","-0.707107","-0.707107","-0.707107",
"6","0.000000","0.000000","0.000000",
"7","0.707107","0.707107","0.707107",
"8","1.000000","1.000000","1.000000",
"9","0.707107","0.707107","0.707107",
"10","-0.000000","0.000000","-0.000000",
"11","-0.707107","-0.707107","-0.707107",
"12","-1.000000","-1.000000","-1.000000",
"13","-0.707107","-0.707107","-0.707107",
"14","0.000000","0.000000","0.000001",
"15","0.707107","0.707107","0.707107",
"16","1.000000","1.000000","1.000000",
"17","0.707107","0.707107","0.707106",
"18","-0.000000","0.000000","-0.000000",
"19","-0.707107","-0.707107","-0.707107",
"20","-1.000000","-1.000000","-1.000000",
"21","-0.707107","-0.707107","-0.707106",
"22","0.000000","0.000000","0.000001",
"23","0.707107","0.707107","0.707107",
"24","1.000000","1.000000","1.000000",
"25","0.707107","0.707107","0.707107",
"26","-0.000000","0.000000","-0.000001",
"27","-0.707107","-0.707107","-0.707107",
"28","-1.000000","-1.000000","-1.000000",
"29","-0.707107","-0.707107","-0.707107",
"30","0.000000","0.000000","0.000000",
"31","0.707107","0.707107","0.707107",
"32","1.000000","1.000000","1.000000",
"33","0.707107","0.707107","0.707106",
"34","-0.000000","0.000000","-0.000001",
"35","-0.707107","-0.707107","-0.707108",
"36","-1.000000","-1.000000","-1.000000",
"37","-0.707107","-0.707107","-0.707107",
"38","0.000000","0.000000","0.000001",
"39","0.707107","0.707107","0.707107",
"40","1.000000","1.000000","1.000000",
"41","0.707107","0.707107","0.707107",
"42","-0.000000","0.000000","-0.000002",
"43","-0.707107","-0.707107","-0.707107",
"44","-1.000000","-1.000000","-1.000000",
"45","-0.707107","-0.707107","-0.707106",
"46","0.000000","0.000000","-0.000001",
"47","0.707107","0.707107","0.707108",
"48","1.000000","1.000000","1.000000",
"49","0.707107","0.707107","0.707105",
"50","-0.000000","0.000000","-0.000001",
"51","-0.707107","-0.707107","-0.707109",
"52","-1.000000","-1.000000","-1.000000",
"53","-0.707107","-0.707107","-0.707107",
"54","0.000000","0.000000","0.000002",
"55","0.707107","0.707107","0.707107",
"56","1.000000","1.000000","1.000000",
"57","0.707107","0.707107","0.707106",
"58","-0.000000","0.000000","0.000001",
"59","-0.707107","-0.707107","-0.707108",
"60","-1.000000","-1.000000","-1.000000",
"61","-0.707107","-0.707107","-0.707105",
"62","0.000000","0.000000","0.000001",
"63","0.707107","0.707107","0.707109",
"64","1.000000","1.000000","1.000000",
"65","0.707107","0.707107","0.707107",
"66","-0.000000","0.000000","-0.000002",
"67","-0.707107","-0.707107","-0.707107",
"68","-1.000000","-1.000000","-1.000000",
"69","-0.707107","-0.707107","-0.707106",
"70","0.000000","0.000000","0.000003",
"71","0.707107","0.707107","0.707108",
"72","1.000000","1.000000","1.000000",
"73","0.707107","0.707107","0.707105",
"74","-0.000000","0.000000","-0.000001",
"75","-0.707107","-0.707107","-0.707109",
"76","-1.000000","-1.000000","-1.000000",
"77","-0.707107","-0.707107","-0.707107",
"78","0.000000","0.000000","0.000002",
"79","0.707107","0.707107","0.707107",
"80","1.000000","1.000000","1.000000",
"81","0.707107","0.707107","0.707106",
"82","-0.000000","0.000000","0.000000",
"83","-0.707107","-0.707107","-0.707108",
"84","-1.000000","-1.000000","-1.000000",
"85","-0.707107","-0.707107","-0.707108",
"86","0.000000","0.000000","0.000001",
"87","0.707107","0.707107","0.707109",
"88","1.000000","1.000000","1.000000",
"89","0.707107","0.707107","0.707107",
"90","-0.000000","0.000000","-0.000002",
"91","-0.707107","-0.707107","-0.707110",
"92","-1.000000","-1.000000","-1.000000",
"93","-0.707107","-0.707107","-0.707106",
"94","0.000000","0.000000","0.000003",
"95","0.707107","0.707107","0.707111",
"96","1.000000","1.000000","1.000000",
"97","0.707107","0.707107","0.707105",
"98","-0.000000","0.000000","-0.000005",
"99","-0.707107","-0.707107","-0.707106",
